LOAN,LOANSUFFVOWEL,VERB,VERBAFFVOWEL,FONETIKA,LEVENSTEIN,VERBFREQ
банить,и,появиться,OTHER,4,6,294.6
банить,и,называть,OTHER,4,5,293.4
банить,и,прийтись,OTHER,4,6,285.5
банить,и,хотеться,OTHER,4,6,285.3
банить,и,вести,OTHER,4,5,280.3
банить,и,показать,OTHER,3,5,277.7
банить,и,поставить,OTHER,4,5,267.3
банить,и,бояться,OTHER,3,5,266.5
банить,и,происходить,OTHER,5,8,263.6
банить,и,существовать,OTHER,8,10,260.9
банить,и,становиться,SAME,6,6,259.3
банить,и,слышать,OTHER,3,5,256.1
банить,и,смочь,OTHER,3,5,255.1
банить,и,заметить,SAME,3,4,253.9
банить,и,использовать,OTHER,6,10,249.6
банить,и,пытаться,OTHER,3,6,249.4
банить,и,представить,SAME,5,7,247.2
банить,и,чувствовать,OTHER,6,9,246.9
банить,и,создать,OTHER,3,5,245.9
банить,и,заниматься,OTHER,5,5,240.8
банить,и,продолжать,OTHER,5,8,240.6
банить,и,слушать,OTHER,3,5,239.5
банить,и,узнать,OTHER,2,3,238.1
банить,и,приехать,OTHER,3,6,234.4
банить,и,отвечать,OTHER,4,6,232.4
банить,и,рассказывать,OTHER,7,9,230
банить,и,рассказать,OTHER,5,7,229.4
банить,и,представлять,OTHER,6,9,228.5
банить,и,брать,OTHER,2,3,226.3
банить,и,забыть,OTHER,2,3,226
банить,и,провести,OTHER,4,7,222
банить,и,спать,OTHER,3,4,221.9
банить,и,помочь,OTHER,1,5,218.8
банить,и,приходить,SAME,4,6,218.2
банить,и,просить,SAME,2,4,215.9
банить,и,вспомнить,SAME,2,5,215.5
банить,и,открыть,OTHER,4,5,214.8
банить,и,привести,OTHER,4,7,214.7
банить,и,оставить,SAME,4,4,210.5
банить,и,спрашивать,OTHER,5,6,208.3
банить,и,принимать,OTHER,3,5,207.7
банить,и,искать,OTHER,3,4,206.9
банить,и,войти,OTHER,4,5,205.5
банить,и,назвать,OTHER,3,4,205.1
банить,и,успеть,OTHER,3,4,203.4
банить,и,произойти,OTHER,4,7,203.2
банить,и,выходить,SAME,4,5,201.6
банить,и,предложить,SAME,5,7,201.2
банить,и,пить,OTHER,2,3,200.9
банить,и,глядеть,OTHER,3,5,199.3
банить,и,ехать,OTHER,2,4,198.2
банить,и,попасть,OTHER,2,5,197.7
банить,и,начаться,OTHER,4,5,197.4
банить,и,верить,SAME,2,3,197.1
банить,и,держать,OTHER,3,5,196.5
банить,и,позволять,OTHER,4,7,194.3
банить,и,купить,SAME,2,3,192.7
банить,и,уходить,SAME,3,4,192.7
банить,и,собираться,OTHER,5,7,192.6
банить,и,относиться,SAME,6,6,191.6
банить,и,требовать,OTHER,4,6,190.9
банить,и,подойти,OTHER,3,6,190
банить,и,удаться,OTHER,4,6,189.1
банить,и,получать,OTHER,3,6,188.2
банить,и,умереть,OTHER,3,5,179.7
банить,и,сесть,OTHER,3,4,175.9
банить,и,случиться,SAME,5,6,175.8
банить,и,проходить,SAME,4,6,175.4
банить,и,составлять,OTHER,6,7,175
банить,и,приходиться,SAME,5,8,174.5
банить,и,установить,SAME,5,5,174
банить,и,поднять,OTHER,1,4,173.8
банить,и,стараться,OTHER,5,6,172.8
банить,и,уметь,OTHER,1,4,172.5
банить,и,встать,OTHER,3,4,172.1
банить,и,проводить,SAME,4,6,167.6
банить,и,бросить,SAME,2,3,166.5
банить,и,объяснить,SAME,3,4,161.4
банить,и,снять,OTHER,2,3,161.3
банить,и,нравиться,SAME,5,5,160.6
банить,и,услышать,OTHER,4,6,160.4
банить,и,связать,OTHER,3,5,160.2
банить,и,позволить,SAME,4,6,159.6
банить,и,поехать,OTHER,2,5,158.4
банить,и,положить,SAME,3,5,158.1
банить,и,входить,SAME,3,4,157.9
банить,и,оказываться,OTHER,7,8,155.1
банить,и,показывать,OTHER,5,7,155
банить,и,вызвать,OTHER,3,5,154.9
банить,и,касаться,OTHER,4,5,154.7
банить,и,отметить,SAME,4,5,154.3
банить,и,заявить,SAME,3,3,154.2
банить,и,действовать,OTHER,7,9,153.5
банить,и,получиться,SAME,5,7,149.3
банить,и,кричать,OTHER,3,5,147.3
банить,и,остановиться,SAME,7,7,147
банить,и,предлагать,OTHER,5,7,145.9
банить,и,убить,SAME,2,3,144.7
банить,и,молчать,OTHER,3,5,144.5
банить,и,согласиться,SAME,7,7,144.2
банить,и,сообщить,SAME,3,5,143.8
банить,и,бежать,OTHER,1,3,143.6
банить,и,петь,OTHER,2,4,143.2
банить,и,вызывать,OTHER,4,6,142.4
банить,и,показаться,OTHER,5,7,142.4
банить,и,принести,OTHER,3,6,141.9
банить,и,выглядеть,OTHER,5,7,141.7
банить,и,служить,SAME,3,4,140.3
банить,и,попросить,SAME,4,6,140.2
банить,и,состоять,OTHER,4,6,139.9
банить,и,отдать,OTHER,2,4,139.8
банить,и,выступать,OTHER,5,7,138.8
банить,и,ставить,SAME,3,3,138.7
банить,и,возникать,OTHER,4,5,138.4
банить,и,надеяться,OTHER,5,6,137.1
банить,и,подняться,OTHER,3,6,136.2
банить,и,вспоминать,OTHER,4,7,135.9
банить,и,называться,OTHER,6,7,135.3
банить,и,помогать,OTHER,2,6,134.5
банить,и,значить,SAME,3,3,134
банить,и,возникнуть,OTHER,5,6,133.6
банить,и,звать,OTHER,3,4,131.3
банить,и,позвонить,SAME,3,5,131
банить,и,хватать,OTHER,3,4,130.9
банить,и,выпить,SAME,2,3,129.9
банить,и,потерять,OTHER,3,6,129.2
банить,и,иметься,OTHER,3,6,128.4
банить,и,получаться,OTHER,5,8,127
банить,и,учиться,SAME,4,5,126.9
банить,и,возвращаться,OTHER,8,9,125.8
банить,и,расти,OTHER,4,4,125.8
банить,и,обнаружить,SAME,5,5,125
банить,и,почувствовать,OTHER,7,11,124.2
банить,и,передать,OTHER,3,6,123.5
банить,и,желать,OTHER,2,4,123.1
банить,и,ожидать,OTHER,3,5,123
банить,и,составить,SAME,5,5,121.6
банить,и,определить,SAME,5,5,120.6
банить,и,нести,OTHER,4,7,120.6
банить,и,пользоваться,OTHER,6,10,120.1
банить,и,улыбнуться,OTHER,5,7,119
банить,и,появляться,OTHER,5,8,118.4
банить,и,смеяться,OTHER,5,6,117.9
банить,и,уехать,OTHER,2,4,117.4
банить,и,подходить,SAME,4,6,116.9
банить,и,судить,SAME,2,3,116.8
банить,и,родиться,SAME,4,5,116.7
банить,и,отказаться,OTHER,6,7,115.8
банить,и,считаться,OTHER,4,7,115.7
банить,и,занять,OTHER,1,2,115.6
банить,и,добавить,SAME,3,3,115.5
банить,и,звонить,SAME,2,3,115.4
банить,и,носить,SAME,2,3,115.3
банить,и,начинаться,OTHER,5,6,115.1
банить,и,зависеть,OTHER,4,4,115
банить,и,построить,SAME,3,6,114.9
банить,и,создавать,OTHER,5,6,114.1
банить,и,принадлежать,OTHER,6,6,113.5
банить,и,встретить,SAME,5,9,113.5
банить,и,произнести,OTHER,4,8,113.5
банить,и,участвовать,OTHER,7,8,113
банить,и,занимать,OTHER,3,3,112.7
банить,и,улыбаться,OTHER,5,7,111.3
банить,и,направить,SAME,4,5,109.9
банить,и,обратиться,SAME,5,5,108.6
банить,и,выбрать,OTHER,3,5,107.9
банить,и,бить,OTHER,2,2,107.5
банить,и,хватить,SAME,3,3,107.3
банить,и,обещать,OTHER,2,4,107.2
банить,и,встречаться,OTHER,7,9,106.8
банить,и,напоминать,OTHER,4,6,106.2
банить,и,упасть,OTHER,3,4,106
банить,и,перестать,OTHER,4,7,105.8
банить,и,обладать,OTHER,3,4,105.2
банить,и,плакать,OTHER,2,4,103.9
банить,и,состояться,OTHER,6,8,103.1
банить,и,поверить,SAME,3,5,101.8
банить,и,собрать,OTHER,3,5,101.6
банить,и,простить,SAME,3,5,101.1
банить,и,рассматривать,OTHER,7,9,100.6
банить,и,перейти,OTHER,3,6,100.5
банить,и,мешать,OTHER,2,4,100.4
банить,и,исчезнуть,OTHER,3,6,99.9
банить,и,объявить,SAME,3,4,99
банить,и,отличаться,OTHER,6,7,98.9
банить,и,обращаться,OTHER,5,6,98.6
банить,и,снимать,OTHER,2,4,98.5
банить,и,пригласить,SAME,5,6,98.2
банить,и,соответствовать,OTHER,9,13,98.1
банить,и,придумать,OTHER,3,4,97.9
банить,и,закрыть,OTHER,3,7,97.9
банить,и,попробовать,OTHER,6,8,97.8
банить,и,приводить,SAME,4,6,97.8
банить,и,достигнуть,OTHER,5,7,97.4
банить,и,утверждать,OTHER,6,8,97.3
банить,и,означать,OTHER,4,5,97
банить,и,платить,SAME,2,3,96.9
банить,и,решать,OTHER,2,4,96.5
банить,и,определять,OTHER,5,8,95.7
банить,и,наблюдать,OTHER,4,6,95.5
банить,и,разговаривать,OTHER,9,6,95.4
банить,и,погибнуть,OTHER,3,9,95.4
банить,и,устроить,SAME,4,5,94.9
банить,и,есть,OTHER,3,4,94.7
банить,и,собраться,OTHER,5,7,94.5
банить,и,достать,OTHER,3,5,94.4
банить,и,ездить,SAME,3,3,93.6
банить,и,понравиться,SAME,5,7,93.1
банить,и,выполнять,OTHER,3,6,92.3
банить,и,заставить,SAME,5,5,92.1
банить,и,объяснять,OTHER,3,5,92.1
банить,и,выполнить,SAME,3,5,91.7
банить,и,указать,OTHER,3,4,91.5
банить,и,вздохнуть,OTHER,4,6,89.7
банить,и,находить,SAME,4,4,89.5
банить,и,закончить,SAME,4,4,89.2
банить,и,признать,OTHER,2,5,88.9
банить,и,дойти,OTHER,4,5,88.6
банить,и,кивнуть,OTHER,2,4,88.4
банить,и,обратить,SAME,3,3,88.3
банить,и,узнавать,OTHER,4,5,88.2
банить,и,встретиться,SAME,7,8,88.1
банить,и,предусмотреть,OTHER,7,11,87.7
банить,и,обеспечивать,OTHER,7,8,87.5
банить,и,двигаться,OTHER,5,7,87.3
банить,и,содержать,OTHER,5,7,87.2
банить,и,приезжать,OTHER,3,7,86.8
банить,и,держаться,OTHER,5,7,86.4
банить,и,обеспечить,SAME,5,6,86.4
банить,и,поступить,SAME,4,6,86
банить,и,привыкнуть,OTHER,4,7,85.9
банить,и,открывать,OTHER,5,7,85.7
банить,и,вырасти,OTHER,4,6,85.3
банить,и,зайти,OTHER,4,4,85.2
банить,и,посвятить,SAME,4,6,85.1
банить,и,стремиться,SAME,5,7,85.1
банить,и,измениться,SAME,5,6,84.5
банить,и,удивиться,SAME,5,6,84.3
банить,и,падать,OTHER,1,3,84.2
банить,и,звучать,OTHER,3,5,84.1
банить,и,суметь,OTHER,1,4,83.9
банить,и,разработать,OTHER,6,8,83.5
банить,и,поговорить,SAME,5,7,83.3
банить,и,лететь,OTHER,2,4,82.9
банить,и,совершить,SAME,5,6,82.9
банить,и,строить,SAME,3,4,82.2
банить,и,кончиться,SAME,4,5,82
банить,и,привезти,OTHER,4,7,82
банить,и,сложиться,SAME,5,6,81.6
банить,и,полагать,OTHER,3,6,81.4
банить,и,оставлять,OTHER,5,5,81.4
банить,и,висеть,OTHER,2,4,81.3
банить,и,повторить,SAME,4,6,80.9
банить,и,сыграть,OTHER,3,5,80.8
банить,и,спасти,OTHER,4,5,80.1
банить,и,изменить,SAME,3,4,79.9
банить,и,повторять,OTHER,4,7,79.9
банить,и,явиться,SAME,4,5,79.8
банить,и,замечать,OTHER,3,5,79.4
банить,и,подать,OTHER,1,4,79.4
банить,и,назначить,SAME,4,4,79.3
банить,и,протянуть,OTHER,3,6,79.3
банить,и,сохранить,SAME,4,4,79.2
банить,и,попытаться,OTHER,4,8,79.1
банить,и,расположить,SAME,6,7,79.1
банить,и,использоваться,OTHER,8,12,79
банить,и,отправиться,SAME,6,7,78.2
банить,и,садиться,SAME,4,4,77.9
банить,и,встречать,OTHER,5,7,77.4
банить,и,говориться,SAME,6,7,77.3
банить,и,крикнуть,OTHER,3,5,77.2
банить,и,готовить,SAME,4,5,76.7
банить,и,учить,SAME,2,3,76.7
банить,и,испытывать,OTHER,5,4,76.6
банить,и,гореть,OTHER,2,8,76.6
банить,и,выделить,SAME,4,5,76.4
банить,и,поддерживать,OTHER,6,9,75.9
банить,и,подниматься,OTHER,5,7,75.9
банить,и,следить,SAME,3,4,75.8
банить,и,требоваться,OTHER,6,8,75.5
банить,и,включать,OTHER,4,6,75.4
банить,и,собирать,OTHER,3,5,75.1
банить,и,менять,OTHER,1,3,74.9
банить,и,делаться,OTHER,4,6,74.7
банить,и,покупать,OTHER,3,6,74.5
банить,и,предполагать,OTHER,7,9,74.1
банить,и,терять,OTHER,2,4,74
банить,и,послать,OTHER,2,5,73.3
банить,и,допустить,SAME,4,6,73
банить,и,прочитать,OTHER,4,6,72.7
банить,и,присутствовать,OTHER,8,12,72.5
банить,и,мечтать,OTHER,3,6,72.4
банить,и,подписать,OTHER,4,5,72.4
банить,и,взглянуть,OTHER,4,6,72.4
банить,и,осуществлять,OTHER,8,10,72.2
банить,и,поступать,OTHER,4,7,72.1
банить,и,готовиться,SAME,6,7,70.9
банить,и,захотеть,OTHER,4,5,70.4
банить,и,отдавать,OTHER,3,5,70.3
банить,и,бороться,OTHER,3,5,70.3
банить,и,остановить,SAME,5,5,70.2
банить,и,приобрести,OTHER,5,8,70.2
банить,и,включить,SAME,4,5,70.1
банить,и,продолжаться,OTHER,7,10,69.9
банить,и,подтвердить,SAME,5,8,69.7
банить,и,спешить,SAME,2,4,69.7
банить,и,добиться,SAME,4,5,69.5
банить,и,отправить,SAME,4,5,69.3
банить,и,повернуться,OTHER,5,8,69.3
банить,и,вставать,OTHER,4,5,69.1
банить,и,подготовить,SAME,6,8,69.1
банить,и,исходить,SAME,4,5,69
банить,и,свидетельствовать,OTHER,12,15,68.8
банить,и,прочесть,OTHER,3,5,68.6
банить,и,ввести,OTHER,4,6,68.6
банить,и,взяться,OTHER,4,6,68.6
банить,и,болеть,OTHER,1,3,68.5
банить,и,вернуть,OTHER,2,4,68.5
банить,и,тянуть,OTHER,1,3,68.5
банить,и,продать,OTHER,2,5,68.3
банить,и,представляться,OTHER,8,11,67.8
банить,и,произвести,OTHER,5,8,67.5
банить,и,выступить,SAME,5,6,67.2
банить,и,познакомиться,SAME,7,3,67.2
банить,и,пахнуть,OTHER,1,9,67.2
банить,и,наступить,SAME,5,5,67.1
банить,и,предстоять,OTHER,4,8,66.8
банить,и,производить,SAME,5,8,66.5
банить,и,разрешить,SAME,5,8,66.4
банить,и,перевести,OTHER,5,5,66.4
банить,и,проверить,SAME,4,6,66.1
банить,и,меняться,OTHER,3,5,66
банить,и,выдержать,OTHER,5,7,65.7
банить,и,учитывать,OTHER,5,7,65.6
банить,и,курить,SAME,2,3,65.5
банить,и,забывать,OTHER,3,5,65.4
банить,и,заключаться,OTHER,7,8,65.4
банить,и,выбирать,OTHER,3,5,65.2
банить,и,напомнить,SAME,2,4,65.2
банить,и,закричать,OTHER,5,5,65.1
банить,и,организовать,OTHER,7,7,65.1
банить,и,доказать,OTHER,4,5,65
банить,и,приносить,SAME,3,5,64.9
банить,и,осуществляться,OTHER,9,12,64.7
банить,и,дышать,OTHER,2,4,64.4
банить,и,описать,OTHER,2,5,64.4
банить,и,прожить,SAME,2,4,64.2
банить,и,оценить,SAME,2,3,64
банить,и,рассмотреть,OTHER,5,8,63.9
банить,и,проводиться,SAME,5,8,63.7
банить,и,превратиться,SAME,6,5,63.5
банить,и,лечь,OTHER,4,8,63.5
банить,и,выпустить,SAME,4,6,63.4
банить,и,ударить,SAME,3,3,63.3
банить,и,проснуться,OTHER,4,7,63.1
банить,и,открыться,OTHER,6,7,63
банить,и,способствовать,OTHER,9,11,62.5
банить,и,научиться,SAME,4,5,62.1
банить,и,умирать,OTHER,3,5,62
банить,и,стрелять,OTHER,4,6,61.7
банить,и,обойтись,OTHER,4,5,61.6
банить,и,записать,OTHER,3,4,61.5
банить,и,определяться,OTHER,7,10,61.5
банить,и,подарить,SAME,3,4,61.4
банить,и,приняться,OTHER,3,6,61.3
банить,и,заставлять,OTHER,6,7,61
банить,и,схватить,SAME,4,4,60.9
банить,и,пропасть,OTHER,3,6,60.8
банить,и,выдать,OTHER,2,4,60.4
банить,и,разобраться,OTHER,7,4,60.1
банить,и,извинить,SAME,3,8,60.1
банить,и,опустить,SAME,3,5,59.9
банить,и,страдать,OTHER,4,5,59.8
банить,и,побежать,OTHER,3,4,59.6
банить,и,заходить,SAME,4,5,59.6
банить,и,броситься,SAME,4,5,59.5
банить,и,гулять,OTHER,2,4,59.5
банить,и,бегать,OTHER,1,3,59.2
банить,и,засмеяться,OTHER,5,7,58.9
банить,и,приказать,OTHER,4,4,58.8
банить,и,найтись,OTHER,4,6,58.8
банить,и,устать,OTHER,3,4,58.6
банить,и,повезти,OTHER,3,6,58.5
банить,и,рассчитывать,OTHER,6,8,58.2
банить,и,опубликовать,OTHER,7,9,58
банить,и,радоваться,OTHER,6,7,57.8
банить,и,выразить,SAME,4,4,57.7
банить,и,закончиться,SAME,6,6,57.7
банить,и,обернуться,OTHER,4,6,57.7
банить,и,отпустить,SAME,4,6,57.6
банить,и,заговорить,SAME,6,6,57.5
банить,и,устраивать,OTHER,5,5,57.4
банить,и,внести,OTHER,4,7,57.4
банить,и,выясниться,SAME,5,6,57.2
банить,и,догадаться,OTHER,5,7,57.1
банить,и,изучать,OTHER,3,5,57
банить,и,интересовать,OTHER,8,10,57
банить,и,поднимать,OTHER,3,5,56.9
банить,и,развиваться,OTHER,7,7,56.8
банить,и,обращать,OTHER,3,4,56.6
банить,и,подождать,OTHER,4,7,56.6
банить,и,продавать,OTHER,4,6,56.3
банить,и,бросать,OTHER,2,4,56.2
банить,и,поддержать,OTHER,4,8,56.2
банить,и,запретить,SAME,4,5,56.1
банить,и,отмечать,OTHER,4,6,56
банить,и,ощущать,OTHER,3,5,55.9
банить,и,отойти,OTHER,4,5,55.9
банить,и,прибыть,OTHER,2,5,55.7
банить,и,случаться,OTHER,5,7,55.5
банить,и,сойти,OTHER,4,5,55.4
банить,и,поймать,OTHER,1,5,55.2
банить,и,признаться,OTHER,4,5,55.1
банить,и,заключить,SAME,5,7,55.1
банить,и,сомневаться,OTHER,5,8,55
банить,и,усмехнуться,OTHER,6,8,55
банить,и,договориться,SAME,8,9,54.8
банить,и,предоставить,SAME,7,8,54.7
банить,и,удаваться,OTHER,5,6,54.3
банить,и,сходить,SAME,3,4,54.2
банить,и,попадать,OTHER,3,5,54.1
банить,и,пустить,SAME,2,4,54.1
банить,и,указывать,OTHER,5,6,54
банить,и,терпеть,OTHER,3,5,53.7
банить,и,сдать,OTHER,3,4,53.6
банить,и,выпускать,OTHER,4,6,53.4
банить,и,вывести,OTHER,4,7,53.4
банить,и,вступить,SAME,4,5,53.1
банить,и,спорить,SAME,2,4,53.1
банить,и,вытащить,SAME,4,4,53
банить,и,победить,SAME,3,4,52.9
банить,и,посадить,SAME,3,4,52.9
банить,и,обсуждать,OTHER,4,6,52.8
банить,и,заняться,OTHER,3,4,52.7
банить,и,переходить,SAME,5,7,52.6
банить,и,торопиться,SAME,6,7,52.6
банить,и,выиграть,OTHER,3,6,52.3
банить,и,надеть,OTHER,2,3,52.1
банить,и,кормить,SAME,2,4,52
банить,и,переживать,OTHER,5,7,51.6
банить,и,потребовать,OTHER,6,8,51.6
банить,и,жалеть,OTHER,2,3,51.4
банить,и,сохраниться,SAME,6,6,51.4
банить,и,вынести,OTHER,3,5,51.3
банить,и,отказываться,OTHER,8,9,51.2
банить,и,защищать,OTHER,4,5,51
банить,и,основать,OTHER,4,4,51
банить,и,заглянуть,OTHER,4,5,51
банить,и,пожать,OTHER,1,3,50.9
банить,и,лишить,SAME,2,4,50.9
банить,и,уезжать,OTHER,2,5,50.7
банить,и,дрожать,OTHER,3,8,50.5
банить,и,воскликнуть,OTHER,6,5,50.5
банить,и,сообщать,OTHER,3,6,50.3
банить,и,лезть,OTHER,3,4,50
банить,и,жениться,SAME,3,4,50
банить,и,волноваться,OTHER,6,8,49.9
банить,и,поразить,SAME,3,4,49.9
банить,и,убивать,OTHER,2,4,49.8
банить,и,велеть,OTHER,2,4,49.8
банить,и,решиться,SAME,4,5,49.7
банить,и,добраться,OTHER,5,7,49.6
банить,и,задуматься,OTHER,5,7,49.6
банить,и,нуждаться,OTHER,5,7,49.5
банить,и,позвать,OTHER,2,5,49.5
банить,и,удивляться,OTHER,6,8,49.4
банить,и,здравствовать,OTHER,8,10,49.3
банить,и,передавать,OTHER,5,7,49.3
банить,и,скрывать,OTHER,4,6,49.3
банить,и,запомнить,SAME,2,4,49.2
банить,и,подавать,OTHER,3,5,49
банить,и,послушать,OTHER,4,5,49
банить,и,покинуть,OTHER,2,7,49
банить,и,пережить,SAME,3,5,48.9
банить,и,раздаться,OTHER,5,7,48.8
банить,и,продолжить,SAME,5,6,48.8
банить,и,оказывать,OTHER,5,6,48.2
банить,и,превышать,OTHER,4,7,48.2
банить,и,ловить,SAME,2,3,48
банить,и,забрать,OTHER,3,4,47.9
банить,и,испугаться,OTHER,5,8,47.8
банить,и,утвердить,SAME,5,6,47.8
банить,и,убедиться,SAME,4,6,47.7
банить,и,применять,OTHER,3,5,47.7
банить,и,заменить,SAME,3,3,47.6
банить,и,приглашать,OTHER,5,7,47.5
банить,и,привлечь,OTHER,4,7,47.4
банить,и,убрать,OTHER,3,5,47
банить,и,везти,OTHER,4,4,47
банить,и,предположить,SAME,7,9,46.9
банить,и,летать,OTHER,2,4,46.6
банить,и,признавать,OTHER,4,7,46.4
банить,и,предпочитать,OTHER,7,6,46.3
банить,и,прислать,OTHER,3,8,46.3
банить,и,повести,OTHER,3,5,46.3
банить,и,покрыть,OTHER,2,9,46.3
банить,и,подчеркнуть,OTHER,5,6,46.3
банить,и,жаловаться,OTHER,6,7,46.1
банить,и,решаться,OTHER,4,6,46.1
банить,и,успокоиться,SAME,5,8,46.1
банить,и,исключить,SAME,5,6,46
банить,и,отсутствовать,OTHER,7,11,45.9
банить,и,владеть,OTHER,3,4,45.7
банить,и,торчать,OTHER,3,5,45.5
банить,и,постараться,OTHER,6,8,45.2
банить,и,соединить,SAME,4,5,45.2
банить,и,убедить,SAME,2,3,45.2
банить,и,задавать,OTHER,4,5,45.1
банить,и,заложить,SAME,4,4,45
банить,и,реализовать,OTHER,6,7,44.8
банить,и,выяснить,SAME,3,4,44.6
банить,и,общаться,OTHER,4,6,44.5
банить,и,повернуть,OTHER,3,6,44.5
банить,и,исполнять,OTHER,3,6,44.5
банить,и,останавливаться,OTHER,10,10,44.4
банить,и,совершать,OTHER,5,7,44.2
банить,и,воевать,OTHER,3,5,44.1
банить,и,выдавать,OTHER,4,5,44.1
банить,и,ненавидеть,OTHER,5,3,44.1
банить,и,родить,SAME,2,6,44.1
банить,и,задать,OTHER,2,3,44.1
банить,и,наступать,OTHER,5,6,44
банить,и,выявить,SAME,3,4,43.8
банить,и,предупредить,SAME,7,9,43.8
банить,и,набрать,OTHER,3,4,43.7
банить,и,предназначить,SAME,7,8,43.7
банить,и,учесть,OTHER,3,7,43.6
банить,и,уничтожить,SAME,6,4,43.6
банить,и,освободить,SAME,5,6,43.5
банить,и,воспринимать,OTHER,6,8,43.4
банить,и,прекратить,SAME,5,6,43.4
банить,и,увеличить,SAME,5,6,43.3
банить,и,подозревать,OTHER,6,8,43.2
банить,и,объединить,SAME,4,5,43.2
банить,и,справиться,SAME,5,9,43.2
банить,и,наблюдаться,OTHER,6,6,43.2
банить,и,съесть,OTHER,4,4,43.2
банить,и,вестись,OTHER,4,5,43.1
банить,и,отнести,OTHER,4,5,43.1
банить,и,упомянуть,OTHER,3,6,43.1
банить,и,отдыхать,OTHER,3,6,42.9
банить,и,проверять,OTHER,4,7,42.9
банить,и,врать,OTHER,3,4,42.8
банить,и,заработать,OTHER,5,7,42.7
банить,и,превращаться,OTHER,7,9,42.7
банить,и,создаваться,OTHER,7,8,42.6
банить,и,побывать,OTHER,3,4,42.5
банить,и,плыть,OTHER,2,5,42.5
банить,и,рассматриваться,OTHER,8,11,42.2
банить,и,уважать,OTHER,3,4,42.2
банить,и,образоваться,OTHER,7,6,42.1
банить,и,выскочить,SAME,5,8,42.1
банить,и,проговорить,SAME,6,8,42.1
банить,и,хранить,SAME,2,2,42.1
банить,и,обрадоваться,OTHER,7,8,41.7
банить,и,танцевать,OTHER,4,7,41.7
банить,и,пропустить,SAME,5,5,41.7
банить,и,дождаться,OTHER,5,7,41.6
банить,и,избрать,OTHER,4,5,41.6
банить,и,описывать,OTHER,4,5,41.5
банить,и,захватить,SAME,5,5,41.5
банить,и,завести,OTHER,4,7,41.5
банить,и,оглянуться,OTHER,5,7,41.5
банить,и,сунуть,OTHER,1,3,41.5
банить,и,исчезать,OTHER,3,6,41.4
банить,и,складываться,OTHER,8,5,41.4
банить,и,разделить,SAME,5,9,41.4
банить,и,последовать,OTHER,6,9,41.2
банить,и,отражать,OTHER,4,5,41.1
банить,и,приближаться,OTHER,7,9,41
банить,и,вступать,OTHER,4,6,40.9
банить,и,надоесть,OTHER,4,5,40.9
банить,и,интересоваться,OTHER,10,12,40.8
банить,и,подлежать,OTHER,4,7,40.8
банить,и,произносить,SAME,4,7,40.8
